page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,21,"Integral 128GB microSD Card Premium High Speed 4K Video Memory Card - up to 100MB/s Read and 50MB/s Write, UHS-I, U3, Class 10, A1 App Performance - for smartphones, tablets, drones, game consoles",EUR 17.13,56456,4.6 out of 5 stars,B07FC7W32H,https://www.amazon.co.uk/Ultra-HD-Premium-Memory-Microsdxc-Integral/dp/B07FC7W32H/ref=zg_bs_g_computers_d_sccl_21/525-0119465-4750728?psc=1,2026-02-27,4K+,computers,co.uk
1,22,"HP Inkjet Cartridges, Black, Standard (Pack of 1)",EUR 15.94,81821,4.6 out of 5 stars,B01EA0EG3W,https://www.amazon.co.uk/HP-Black-Original-Cartridge-N9K06AE/dp/B01EA0EG3W/ref=zg_bs_g_computers_d_sccl_22/525-0119465-4750728?psc=1,2026-02-27,0,computers,co.uk
1,23,"Ofuca iPhone Charger,3Pack 6FT/1.8M iPhone Charger Cable MFi Certified Lightning Cable Fast Charging Wire Compatible with iPhone 14 13 12 11 Pro Max XS XR X 8 7 6 Plus 5 SE",EUR 7.47,75387,4.4 out of 5 stars,B08F2NDB39,https://www.amazon.co.uk/iPhone-Charger-Cable-Lightning-Compatible/dp/B08F2NDB39/ref=zg_bs_g_computers_d_sccl_23/525-0119465-4750728?psc=1,2026-02-27,4K+,computers,co.uk
1,24,"BASESAILOR USB to USB C Adapter,USBC Female to USB A Male Adapter,Type C Converter Charger for iPhone 17 Pro Max,16 15,Apple Watch iWatch S11 S10 SE,AirPods 3,iPad Mini Air,Samsung Galaxy S25,3 Pack",EUR 6.84,122228,4.6 out of 5 stars,B07Z662186,https://www.amazon.co.uk/Adapter-Charger-Connector-Mini-Led-Generation-Black/dp/B07Z662186/ref=zg_bs_g_computers_d_sccl_24/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,25,"KOOTION 64GB Micro SD Card, UHD Video for GoPro, Action Camera, Drone, Smartphone, R/W up to 80/20MB/s MicroSDXC Memory Card UHS-I U1 Class 10",EUR 12.56,24105,4.5 out of 5 stars,B08CBBL4L6,https://www.amazon.co.uk/KOOTION-MicroSDXC-High-Speed-Smartphone-Bluetooth/dp/B08CBBL4L6/ref=zg_bs_g_computers_d_sccl_25/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,26,"SanDisk 128GB Ultra Flair USB 3.0 Flash Drive USB stick, Memory stick with transfer speeds up to 150 MB/s, Password protection, Durable, Sleek Metal Casing Silver/Black",EUR 20.53,210601,4.6 out of 5 stars,B015CH1PJU,https://www.amazon.co.uk/SanDisk-Ultra-Flair-Flash-Drive/dp/B015CH1PJU/ref=zg_bs_g_computers_d_sccl_26/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,27,"SanDisk 128GB Extreme PRO SDXC card, SD Card, V30 Memory Card, 4K UHD, up to 200 MB/s, SanDisk QuickFlow Technology, RescuePro Deluxe Data Recovery Software, UHS-I, Class 10, U3, V30",EUR 42.26,90234,4.7 out of 5 stars,B09X7FXHVJ,https://www.amazon.co.uk/SanDisk-128GB-Extreme-RescuePRO-Deluxe/dp/B09X7FXHVJ/ref=zg_bs_g_computers_d_sccl_27/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,28,"HP N9J71AE 62 Original Ink Cartridges, Black and Tri-color, Multipack, 2 Count (Pack of 1)",EUR 41.13,60233,4.5 out of 5 stars,B01ARRTHUE,https://www.amazon.co.uk/HP-Tri-color-Original-Cartridges-N9J71AE/dp/B01ARRTHUE/ref=zg_bs_g_computers_d_sccl_28/525-0119465-4750728?psc=1,2026-02-27,0,computers,co.uk
1,29,"TiMOVO Case for iPad (A16) 11th Generation 11 Inch 2025/iPad 10th Generation 10.9 Inch 2022, Slim Stand Cover with Hard Translucent Back, Support Touch ID, Auto Wake/Sleep, Abyss Blue",EUR 11.40,22470,4.6 out of 5 stars,B0B7KW8M3W,https://www.amazon.co.uk/TiMOVO-10th-2022-10-9-inch/dp/B0B7KW8M3W/ref=zg_bs_g_computers_d_sccl_29/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,30,"3Pack 2M iPhone Charger Cable, Long iPhone Charging Cable MFi Certified Lightning Cable Fast Charging Cord Braided i Phone Charger Lead USB Cord for Phone 14 13 12 11 Pro Max XS XR 8 7 6 SE, iPad",EUR 7.59,15253,4.6 out of 5 stars,B0C53P8PXD,https://www.amazon.co.uk/1-8M-Charger-Charging-Certified-Lightning/dp/B0C53P8PXD/ref=zg_bs_g_computers_d_sccl_30/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,31,"Canon Ink & Paper Multipack - PG-540/CL-541 Genuine Printer Ink Cartridges 2 Pack (1 x Black, 1 x Colour) & 4x6 Photo Paper (50 x Sheets) For PIXMA TS5150, TS5151, MG3650s, MG4250, TS5100",EUR 44.49,60369,4.6 out of 5 stars,B0CH8H25T8,https://www.amazon.co.uk/Canon-PG-540-CL-541-Genuine-Cartridges/dp/B0CH8H25T8/ref=zg_bs_g_computers_d_sccl_31/525-0119465-4750728?psc=1,2026-02-27,0,computers,co.uk
1,32,"Netac 64GB USB 2.0 Flash Drive, Swivel Design Memory Sticks, Pen Drive, Usb Sticks for Data Storage, Zip Drive and jump Drive with LED Light",EUR 9.13,17965,4.4 out of 5 stars,B082V2ZCBZ,https://www.amazon.co.uk/Netac-Swivel-Design-Memory-Storage/dp/B082V2ZCBZ/ref=zg_bs_g_computers_d_sccl_32/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,33,"ProCase 2 Pack Screen Protector for iPad A16 2025 11th/10th 2022 Generation (11-inch/10.9), Tempered Glass Film Guard -Clear",EUR 7.96,60238,4.5 out of 5 stars,B0BDKJFRX4,https://www.amazon.co.uk/ProCase-iPad-11th-10th-10-9/dp/B0BDKJFRX4/ref=zg_bs_g_computers_d_sccl_33/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,34,"iPad Plug USB C,25W New Apple iPad Charger Plug Fast Charge UK for i Pad Pro 12.9 11 13 inch 4th 5th 6th M4 2024 Generation/Air 10.9 11 13 inch 5th Gen M2 M3/Mini 6 A17 Pro/Pad 10th 2022 A16 11th 2025",EUR 6.79,1682,4.4 out of 5 stars,B0F4MF5GF7,https://www.amazon.co.uk/iPad-Apple-Charger-Charge-Generation/dp/B0F4MF5GF7/ref=zg_bs_g_computers_d_sccl_34/525-0119465-4750728?psc=1,2026-02-27,3K+,computers,co.uk
1,35,"UGREEN Webcam for PC, Full HD 1080P/30fps Webcam for Laptop, Clear Stereo Audio Mics, Auto Light Correction, 85° View Web Cam USB Camera for Live Streaming, Video Calling, Conferences, Switch 2",EUR 17.13,4382,4.3 out of 5 stars,B0C76ZD7KV,https://www.amazon.co.uk/UGREEN-Microphone-Correction-Streaming-Conferences/dp/B0C76ZD7KV/ref=zg_bs_g_computers_d_sccl_35/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,36,"USB C to USB Adaptor, USB to USB C Adapter 3Pack, Type C Female to A Male Charger Cable Converter Compatible with Mbook, Notebook, Tablet, Smartphone, Airpods,Galaxy S23 S24 A34, iPad 10 Air 4 5",EUR 4.56,4592,4.6 out of 5 stars,B0CWTHCGLK,https://www.amazon.co.uk/Adaptor-Converter-Compatible-Notebook-Smartphone-3Pcs-USB-C-Adapter-Grey/dp/B0CWTHCGLK/ref=zg_bs_g_computers_d_sccl_36/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
1,37,"LISEN 240W USB C to USB C Cable [2-Pack 2m] USB C Charger Cable, Nylon Type C Charger Cable Fast Charging for iPhone 17 16 15 Pro Max, MacBook Pro/Air, iPad Pro, Galaxy S25 S24, Switch 2, Steam Deck",EUR 10.27,7930,4.4 out of 5 stars,B0FHBMQQD5,https://www.amazon.co.uk/LISEN-2-Pack-Charger-Charging-MacBook-Dark-Blue/dp/B0FHBMQQD5/ref=zg_bs_g_computers_d_sccl_37/525-0119465-4750728?psc=1,2026-02-27,5K+,computers,co.uk
